month,county,closed_sales,median_price,active_listings,months_inventory,days_on_market,price_yoy_change,sales_yoy_change,price_index_2012_base100
2018-08-01,Liberty County,61,195000.0,250,4.1,36,0.4135556361,0.6052631579,304.7
2018-09-01,Liberty County,41,155000.0,247,6.0,50,0.1355311355,-0.1632653061,242.2
2018-10-01,Liberty County,57,150000.0,251,4.4,57,0.0,0.1176470588,234.4
2018-11-01,Liberty County,57,185000.0,254,4.5,68,0.3602941176,0.14,289.1
2018-12-01,Liberty County,46,136500.0,243,5.3,49,-0.09,0.09523809524,213.3
2019-01-01,Liberty County,33,160000.0,230,7.0,44,0.3114754098,0.06451612903,250.0
2019-02-01,Liberty County,50,164500.0,217,4.3,77,0.003048780488,0.4285714286,257.0
2019-03-01,Liberty County,62,158200.0,203,3.3,94,0.05466666667,0.512195122,247.2
2019-04-01,Liberty County,55,196000.0,231,4.2,68,0.1736526946,-0.0350877193,306.2
2019-05-01,Liberty County,53,162000.0,234,4.4,43,0.08,0.08163265306,253.1
2019-06-01,Liberty County,54,161995.0,238,4.4,44,0.04851132686,-0.08474576271,253.1
2019-07-01,Liberty County,74,188875.0,273,3.7,37,0.0984297761,0.3703703704,295.1
2019-08-01,Liberty County,68,168250.0,291,4.3,35,-0.1371794872,0.1147540984,262.9
2019-09-01,Liberty County,49,155500.0,291,5.9,49,0.003225806452,0.1951219512,243.0
2019-10-01,Liberty County,71,161000.0,288,4.1,51,0.07333333333,0.2456140351,251.6
2019-11-01,Liberty County,50,190812.0,291,5.8,65,0.03141621622,-0.1228070175,298.1
2019-12-01,Liberty County,57,180000.0,265,4.6,70,0.3186813187,0.2391304348,281.2
2020-01-01,Liberty County,58,153130.0,264,4.6,61,-0.0429375,0.7575757576,239.3
2020-02-01,Liberty County,60,162450.0,266,4.4,100,-0.01246200608,0.2,253.8
2020-03-01,Liberty County,63,191000.0,259,4.1,60,0.2073324905,0.01612903226,298.4
2020-04-01,Liberty County,60,179000.0,269,4.5,59,-0.08673469388,0.09090909091,279.7
2020-05-01,Liberty County,53,181000.0,249,4.7,53,0.1172839506,0.0,282.8
2020-06-01,Liberty County,55,171990.0,223,4.1,61,0.06169943517,0.01851851852,268.7
2020-07-01,Liberty County,79,177990.0,236,3.0,53,-0.05763070814,0.06756756757,278.1
2020-08-01,Liberty County,77,205000.0,244,3.2,73,0.2184249629,0.1323529412,320.3
2020-09-01,Liberty County,81,187000.0,249,3.1,30,0.2025723473,0.6530612245,292.2
2020-10-01,Liberty County,79,212000.0,239,3.0,38,0.3167701863,0.1126760563,331.2
2020-11-01,Liberty County,67,212000.0,238,3.6,40,0.1110412343,0.34,331.2
2020-12-01,Liberty County,80,187945.0,251,3.1,41,0.04413888889,0.4035087719,293.7
2021-01-01,Liberty County,57,200000.0,240,4.2,21,0.3060798015,-0.01724137931,312.5
2021-02-01,Liberty County,40,202000.0,231,5.8,44,0.243459526,-0.3333333333,315.6
2021-03-01,Liberty County,65,192000.0,216,3.3,70,0.005235602094,0.03174603175,300.0
2021-04-01,Liberty County,100,211029.5,202,2.0,48,0.1789357542,0.6666666667,329.7
2021-05-01,Liberty County,97,220000.0,213,2.2,44,0.2154696133,0.8301886792,343.8
2021-06-01,Liberty County,80,218550.5,248,3.1,30,0.2707163207,0.4545454545,341.5
2021-07-01,Liberty County,85,239900.0,267,3.1,29,0.3478285297,0.07594936709,374.8
2021-08-01,Liberty County,69,253000.0,268,3.9,28,0.2341463415,-0.1038961039,395.3
2021-09-01,Liberty County,88,235995.0,275,3.1,31,0.2620053476,0.08641975309,368.7
2021-10-01,Liberty County,75,225602.0,286,3.8,22,0.06416037736,-0.05063291139,352.5
2021-11-01,Liberty County,87,234999.0,308,3.5,48,0.1084858491,0.2985074627,367.2
2021-12-01,Liberty County,68,231000.0,303,4.5,39,0.2290829764,-0.15,360.9
2022-01-01,Liberty County,75,237000.0,302,4.0,40,0.185,0.3157894737,370.3
2022-02-01,Liberty County,77,220000.0,280,3.6,47,0.08910891089,0.925,343.8
2022-03-01,Liberty County,122,252500.0,260,2.1,47,0.3151041667,0.8769230769,394.5
2022-04-01,Liberty County,109,255000.0,279,2.6,53,0.2083618641,0.09,398.4
2022-05-01,Liberty County,100,240495.0,280,2.8,31,0.09315909091,0.03092783505,375.8
2022-06-01,Liberty County,119,280000.0,327,2.7,32,0.2811684256,0.4875,437.5
2022-07-01,Liberty County,98,271035.5,381,3.9,22,0.1297853272,0.1529411765,423.5
2022-08-01,Liberty County,85,265990.0,418,4.9,35,0.05134387352,0.231884058,415.6
2022-09-01,Liberty County,71,251990.0,418,5.9,37,0.06777685968,-0.1931818182,393.7
2022-10-01,Liberty County,59,250000.0,429,7.3,59,0.1081462044,-0.2133333333,390.6
2022-11-01,Liberty County,72,215400.0,434,6.0,51,-0.0834003549,-0.1724137931,336.6
2022-12-01,Liberty County,75,266216.0,460,6.1,74,0.1524502165,0.1029411765,416.0
2023-01-01,Liberty County,42,254500.0,496,11.8,88,0.07383966245,-0.44,397.7
2023-02-01,Liberty County,66,228750.0,503,7.6,48,0.03977272727,-0.1428571429,357.4
2023-03-01,Liberty County,98,245995.0,553,5.6,55,-0.02576237624,-0.1967213115,384.4
2023-04-01,Liberty County,56,265000.0,543,9.7,76,0.03921568627,-0.4862385321,414.1
2023-05-01,Liberty County,111,249990.0,555,5.0,54,0.03948107029,0.11,390.6
2023-06-01,Liberty County,121,256000.0,552,4.6,68,-0.08571428571,0.01680672269,400.0
2023-07-01,Liberty County,89,225000.0,557,6.3,52,-0.1698504439,-0.09183673469,351.6
2023-08-01,Liberty County,112,252499.5,562,5.0,59,-0.05071807211,0.3176470588,394.5
2023-09-01,Liberty County,96,210662.5,581,6.1,63,-0.164004524,0.3521126761,329.2
2023-10-01,Liberty County,83,252000.0,651,7.8,66,0.008,0.406779661,393.8
2023-11-01,Liberty County,68,251000.0,671,9.9,88,0.165273909,-0.05555555556,392.2
2023-12-01,Liberty County,86,244995.0,631,7.3,108,-0.07971346576,0.1466666667,382.8
2024-01-01,Liberty County,58,229495.0,625,10.8,83,-0.09825147348,0.380952381,358.6
2024-02-01,Liberty County,87,265990.0,648,7.4,108,0.1627978142,0.3181818182,415.6
2024-03-01,Liberty County,85,260000.0,663,7.8,106,0.05693205146,-0.1326530612,406.2
2024-04-01,Liberty County,110,229990.0,693,6.3,89,-0.1321132075,0.9642857143,359.4
2024-05-01,Liberty County,101,249990.0,700,6.9,88,0.0,-0.09009009009,390.6
2024-06-01,Liberty County,86,247990.0,717,8.3,89,-0.0312890625,-0.2892561983,387.5
2024-07-01,Liberty County,94,268715.0,677,7.2,61,0.1942888889,0.05617977528,419.9
2024-08-01,Liberty County,99,251990.0,710,7.2,68,-0.002017825778,-0.1160714286,393.7
2024-09-01,Liberty County,89,273990.0,721,8.1,77,0.3006111672,-0.07291666667,428.1
2024-10-01,Liberty County,97,250000.0,724,7.5,70,-0.007936507937,0.1686746988,390.6
2024-11-01,Liberty County,82,261046.0,724,8.8,90,0.04002390438,0.2058823529,407.9
2024-12-01,Liberty County,98,242000.0,695,7.1,139,-0.01222473928,0.1395348837,378.1
2025-01-01,Liberty County,72,272500.0,713,9.9,108,0.1873897035,0.2413793103,425.8
2025-02-01,Liberty County,70,250000.0,725,10.4,139,-0.06011504192,-0.1954022989,390.6
2025-03-01,Liberty County,114,288995.0,755,6.6,124,0.1115192308,0.3411764706,451.6
2025-04-01,Liberty County,111,275000.0,753,6.8,116,0.1957041611,0.009090909091,429.7
2025-05-01,Liberty County,125,281000.0,782,6.3,114,0.1240449618,0.2376237624,439.1
2025-06-01,Liberty County,86,290995.0,777,9.0,66,0.1734142506,0.0,454.7
2025-07-01,Liberty County,92,278440.0,774,8.4,134,0.03619075973,-0.02127659574,435.1
2025-08-01,Liberty County,90,265000.0,785,8.7,107,0.0516290329,-0.09090909091,414.1
2025-09-01,Liberty County,99,300000.0,766,7.7,132,0.09493047192,0.1123595506,468.8
2025-10-01,Liberty County,86,267995.0,756,8.8,100,0.07198,-0.1134020619,418.7
2025-11-01,Liberty County,63,289990.0,771,12.2,113,0.1108770102,-0.2317073171,453.1
2025-12-01,Liberty County,92,266450.0,746,8.1,127,0.1010330579,-0.0612244898,416.3
2026-01-01,Liberty County,70,272445.0,745,10.6,114,-0.0002018348624,-0.02777777778,425.7
2026-02-01,Liberty County,77,299500.0,767,10.0,179,0.198,0.1,468.0
2026-03-01,Liberty County,106,277495.0,745,7.0,127,-0.039793076,-0.0701754386,433.6
2026-04-01,Liberty County,120,276832.5,710,5.9,151,0.006663636364,0.08108108108,432.6
2026-05-01,Liberty County,105,270000.0,659,6.3,111,-0.03914590747,-0.16,421.9
2012-01-01,Montgomery County,304,165000.0,3322,10.9,121,-0.09989035028,0.04827586207,100.0
2012-02-01,Montgomery County,414,169450.0,3453,8.3,138,-0.05861111111,0.1280653951,102.7
2012-03-01,Montgomery County,530,190000.0,3655,6.9,116,0.02205486821,0.05788423154,115.2
2012-04-01,Montgomery County,571,193000.0,3924,6.9,99,0.05080906854,0.1130604288,117.0
2012-05-01,Montgomery County,791,195000.0,3940,5.0,91,0.02631578947,0.4355716878,118.2
2012-06-01,Montgomery County,777,210000.0,3891,5.0,84,0.1024779504,0.1790591806,127.3
2012-07-01,Montgomery County,705,194000.0,3832,5.4,90,-0.04668304668,0.1769616027,117.6
2012-08-01,Montgomery County,754,194950.0,3640,4.8,95,-0.02525,0.1930379747,118.2
2012-09-01,Montgomery County,640,185000.0,3412,5.3,98,0.03351955307,0.223709369,112.1
2012-10-01,Montgomery County,612,185875.0,3227,5.3,101,-0.01653439153,0.4468085106,112.7
2012-11-01,Montgomery County,538,189500.0,3075,5.7,106,0.05478773441,0.355163728,114.8
2012-12-01,Montgomery County,518,194500.0,2564,4.9,102,0.03438739802,0.1139784946,117.9
2013-01-01,Montgomery County,421,180000.0,2436,5.8,98,0.09090909091,0.3848684211,109.1
2013-02-01,Montgomery County,502,184583.0,2361,4.7,75,0.08930658011,0.2125603865,111.9
2013-03-01,Montgomery County,684,200000.0,2505,3.7,53,0.05263157895,0.2905660377,121.2
2013-04-01,Montgomery County,739,215000.0,2523,3.4,38,0.1139896373,0.2942206655,130.3
2013-05-01,Montgomery County,947,204900.0,2613,2.8,32,0.05076923077,0.1972187105,124.2
2013-06-01,Montgomery County,943,235500.0,2569,2.7,32,0.1214285714,0.2136422136,142.7
2013-07-01,Montgomery County,983,222000.0,2583,2.6,34,0.1443298969,0.3943262411,134.5
2013-08-01,Montgomery County,936,214000.0,2646,2.8,33,0.09771736343,0.2413793103,129.7
2013-09-01,Montgomery County,743,205000.0,2550,3.4,40,0.1081081081,0.1609375,124.2
2013-10-01,Montgomery County,725,213114.0,2403,3.3,46,0.1465447209,0.1846405229,129.2
2013-11-01,Montgomery County,619,212000.0,2206,3.6,47,0.1187335092,0.1505576208,128.5
2013-12-01,Montgomery County,670,214000.0,2070,3.1,49,0.1002570694,0.2934362934,129.7
2014-01-01,Montgomery County,468,210500.0,1998,4.3,52,0.1694444444,0.1116389549,127.6
2014-02-01,Montgomery County,537,218900.0,2057,3.8,53,0.1859163628,0.06972111554,132.7
2014-03-01,Montgomery County,721,215000.0,2070,2.9,36,0.075,0.05409356725,130.3
2014-04-01,Montgomery County,781,227500.0,2102,2.7,30,0.05813953488,0.05683355886,137.9
2014-05-01,Montgomery County,903,230000.0,2212,2.4,25,0.1224987799,-0.0464625132,139.4
2014-06-01,Montgomery County,936,249444.0,2421,2.6,21,0.05921019108,-0.007423117709,151.2
2014-07-01,Montgomery County,974,242250.0,2687,2.8,20,0.09121621622,-0.009155645982,146.8
2014-08-01,Montgomery County,893,245000.0,2679,3.0,29,0.1448598131,-0.04594017094,148.5
2014-09-01,Montgomery County,791,221990.0,2628,3.3,33,0.08287804878,0.06460296097,134.5
2014-10-01,Montgomery County,764,218750.0,2581,3.4,40,0.02644593973,0.05379310345,132.6
2014-11-01,Montgomery County,599,220000.0,2576,4.3,47,0.03773584906,-0.03231017771,133.3
2014-12-01,Montgomery County,780,239950.0,2458,3.2,47,0.1212616822,0.1641791045,145.4
2015-01-01,Montgomery County,489,205000.0,2497,5.1,52,-0.02612826603,0.04487179487,124.2
2015-02-01,Montgomery County,576,232450.0,2661,4.6,57,0.06190041115,0.07262569832,140.9
2015-03-01,Montgomery County,766,229900.0,2854,3.7,38,0.06930232558,0.06241331484,139.3
2015-04-01,Montgomery County,789,239250.0,3033,3.8,32,0.05164835165,0.01024327785,145.0
2015-05-01,Montgomery County,868,247050.0,3095,3.6,33,0.07413043478,-0.03875968992,149.7
2015-06-01,Montgomery County,1047,254000.0,3296,3.1,30,0.01826462052,0.1185897436,153.9
2015-07-01,Montgomery County,981,253000.0,3534,3.6,36,0.04437564499,0.007186858316,153.3
2015-08-01,Montgomery County,903,250000.0,3501,3.9,35,0.02040816327,0.01119820829,151.5
2015-09-01,Montgomery County,821,225653.0,3523,4.3,42,0.01650074328,0.03792667509,136.8
2015-10-01,Montgomery County,714,231250.0,3535,5.0,47,0.05714285714,-0.06544502618,140.2
2015-11-01,Montgomery County,579,216600.0,3371,5.8,52,-0.01545454545,-0.03338898164,131.3
2015-12-01,Montgomery County,794,244000.0,3206,4.0,62,0.01687851636,0.01794871795,147.9
2016-01-01,Montgomery County,474,232750.0,3238,6.8,73,0.1353658537,-0.03067484663,141.1
2016-02-01,Montgomery County,567,217900.0,3311,5.8,66,-0.06259410626,-0.015625,132.1
2016-03-01,Montgomery County,813,230000.0,3494,4.3,56,0.0004349717268,0.06135770235,139.4
2016-04-01,Montgomery County,757,250000.0,3579,4.7,41,0.04493207941,-0.04055766793,151.5
2016-05-01,Montgomery County,914,254900.0,3645,4.0,43,0.03177494434,0.05299539171,154.5
2016-06-01,Montgomery County,1012,250000.0,3701,3.7,42,-0.0157480315,-0.03342884432,151.5
2016-07-01,Montgomery County,899,254000.0,3714,4.1,42,0.00395256917,-0.08358817533,153.9
2016-08-01,Montgomery County,999,258100.0,3615,3.6,49,0.0324,0.1063122924,156.4
2016-09-01,Montgomery County,851,235000.0,3617,4.3,47,0.04142200635,0.0365408039,142.4
2016-10-01,Montgomery County,730,242000.0,3553,4.9,63,0.04648648649,0.02240896359,146.7
2016-11-01,Montgomery County,717,240000.0,3493,4.9,60,0.108033241,0.2383419689,145.5
2016-12-01,Montgomery County,754,243995.0,3292,4.4,70,-2.049180328e-05,-0.05037783375,147.9
2017-01-01,Montgomery County,464,232830.0,3230,7.0,67,0.0003437164339,-0.02109704641,141.1
