month,market_area,closed_sales,pending_sales,active_listings,new_listings,months_inventory,median_price,days_on_market,sale_to_list_ratio,single_family_permits,multi_family_permits,mortgage_rate_30yr,zhvi_typical_home_value,price_yoy_change,sales_yoy_change,inventory_yoy_change,dom_yoy_change,permit_yoy_change,affordability_pressure_index,market_condition_score,market_condition_label
2013-11-01,"Houston, TX metro area",5513.0,7294.0,19308.0,5541.0,3.5,183000.0,46.0,0.9716,409.0,573.0,4.255,160605.98,0.0925,0.0249,-0.3002,-56.0,-0.3797,-0.721,0.402,balanced
2013-12-01,"Houston, TX metro area",6295.0,6480.0,17558.0,4780.0,2.8,189000.0,47.0,0.9716,401.0,1515.0,4.458,162017.28,0.1081,0.1429,-0.2358,-59.0,5.9927,-0.596,0.669,warmer
2014-01-01,"Houston, TX metro area",4336.0,7530.0,17489.0,7140.0,4.0,175200.0,53.0,0.971,436.0,1060.0,4.432,163373.29,0.168,0.0275,-0.1938,-42.0,0.4482,-0.719,0.449,balanced
2014-02-01,"Houston, TX metro area",5211.0,8310.0,17514.0,7381.0,3.4,181250.0,49.0,0.9736,389.0,287.0,4.302,164839.4,0.116,0.0809,-0.1769,-32.0,0.1798,-0.718,0.444,balanced
2014-03-01,"Houston, TX metro area",6471.0,10081.0,17422.0,8768.0,2.7,191230.0,37.0,0.9765,406.0,876.0,4.342,166397.37,0.1086,0.0284,-0.179,-22.0,-0.1419,-0.621,0.57,warmer
2014-04-01,"Houston, TX metro area",6905.0,11391.0,17381.0,9634.0,2.5,195000.0,32.0,0.9788,738.0,1775.0,4.338,167881.95,0.0583,-0.014,-0.1796,-12.0,1.8428,-0.592,0.401,balanced
2014-05-01,"Houston, TX metro area",7759.0,11130.0,17912.0,10279.0,2.3,200000.0,27.0,0.9801,484.0,1804.0,4.192,169388.73,0.0811,-0.0656,-0.169,-12.0,0.4417,-0.605,0.485,balanced
2014-06-01,"Houston, TX metro area",8239.0,10641.0,18863.0,9843.0,2.3,211000.0,23.0,0.9811,473.0,260.0,4.162,170805.15,0.1018,0.0536,-0.1276,-13.0,-0.3026,-0.526,0.725,warmer
2014-07-01,"Houston, TX metro area",8193.0,10959.0,20447.0,9891.0,2.5,200000.0,21.0,0.9803,541.0,750.0,4.13,172433.96,0.0638,-0.0211,-0.0639,-14.0,-0.1212,-0.628,0.407,balanced
2014-08-01,"Houston, TX metro area",7954.0,10301.0,20402.0,8837.0,2.6,203000.0,26.0,0.9791,562.0,1417.0,4.115,174057.17,0.0967,-0.0091,-0.0575,-10.0,1.9018,-0.609,0.48,balanced
2014-09-01,"Houston, TX metro area",6959.0,8919.0,19681.0,7407.0,2.8,196662.0,30.0,0.9768,453.0,2931.0,4.162,175656.74,0.0865,0.0546,-0.0716,-9.0,1.4791,-0.644,0.472,balanced
2014-10-01,"Houston, TX metro area",7031.0,9142.0,19042.0,7551.0,2.7,192000.0,36.0,0.9748,467.0,227.0,4.036,177041.02,0.0847,0.0945,-0.0784,-9.0,-0.6251,-0.729,0.488,balanced
2014-11-01,"Houston, TX metro area",5549.0,7204.0,18381.0,6158.0,3.3,196900.0,39.0,0.9727,393.0,1135.0,3.998,178598.1,0.076,0.0065,-0.048,-7.0,0.556,-0.703,0.181,balanced
2014-12-01,"Houston, TX metro area",6996.0,6269.0,17168.0,5247.0,2.5,209545.0,40.0,0.9731,410.0,1589.0,3.864,180257.48,0.1087,0.1114,-0.0222,-7.0,0.0433,-0.65,0.547,warmer
2015-01-01,"Houston, TX metro area",4363.0,6940.0,18305.0,7892.0,4.2,190000.0,43.0,0.9731,465.0,591.0,3.67,182122.36,0.0845,0.0062,0.0467,-10.0,-0.2941,-0.882,-0.057,balanced
2015-02-01,"Houston, TX metro area",4921.0,7922.0,18985.0,8141.0,3.9,198000.0,41.0,0.9734,439.0,1420.0,3.71,183869.4,0.0924,-0.0557,0.084,-8.0,1.75,-0.802,-0.078,balanced
2015-03-01,"Houston, TX metro area",6608.0,9585.0,19482.0,9190.0,2.9,207500.0,31.0,0.9752,409.0,334.0,3.77,185590.49,0.0851,0.0212,0.1182,-6.0,-0.4204,-0.702,0.223,balanced
2015-04-01,"Houston, TX metro area",6919.0,10162.0,20459.0,10018.0,3.0,206600.0,30.0,0.9755,455.0,1007.0,3.672,187130.85,0.0595,0.002,0.1771,-2.0,-0.4182,-0.746,0.039,balanced
2015-05-01,"Houston, TX metro area",7241.0,10182.0,21436.0,10162.0,3.0,220000.0,28.0,0.9787,413.0,630.0,3.84,188595.0,0.1,-0.0668,0.1967,1.0,-0.5441,-0.573,0.099,balanced
2015-06-01,"Houston, TX metro area",8333.0,10441.0,22199.0,10238.0,2.7,222875.0,25.0,0.9793,534.0,1093.0,3.982,189978.34,0.0563,0.0114,0.1769,2.0,1.2196,-0.496,0.135,balanced
2015-07-01,"Houston, TX metro area",8466.0,10445.0,23407.0,11062.0,2.8,218491.0,28.0,0.9776,485.0,2592.0,4.046,191331.1,0.0925,0.0333,0.1448,7.0,1.3834,-0.508,0.287,balanced
